,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
614,Хивский район,Село,Куштиль,МКОУ КУШТИЛЬСКАЯ СОШ,"Республика Дагестан, Хивский район, с. Куштиль",535003642.0,,"41,830846","47,885829",,Спутник,1.0,ВОЛС,50.0
615,Карабудахкентский район,Село,Ленинкент,МКОУ ЛЕНИНКЕНТСКАЯ СОШ,"Республика Дагестан, Карабудахкентский район, с. Ленинкент",,,"42,484282","47,753398",,Медь,4.0,ВОЛС,50.0
616,Хивский район,Село,Ляхля,МКОУ ЛЯХЛИНСКАЯ СОШ,"Республика Дагестан, Хивский район, с. Ляхля",535003794.0,,"41,882623","47,879227",,Спутник,1.0,ВОЛС,50.0
617,Кизлярский район,Село,Малая Арешевка,МКОУ Малоарешевская СОШ,"Республика Дагестан, Кизлярский район, с. Малая Арешевка",547005820.0,,"44,021906","46,821466",,Спутник,1.0,ВОЛС,50.0
618,Сергокалинский район,Село,Мамааул,МКОУ МАММАУЛЬСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Мамааул",527002902.0,,"42,316864","47,755321",,Медь,4.0,ВОЛС,50.0
619,Табасаранский район,Село,Марага,МКОУ МАРАГИНСКАЯ СОШ №1,"Республика Дагестан, Табасаранский район, с. Марага",530007925.0,,"41,962778","48,117778",,Медь,4.0,ВОЛС,50.0
620,Табасаранский район,Село,Марага,МКОУ МАРАГИНСКАЯ СОШ №2,"Республика Дагестан, Табасаранский район, с. Марага",530008245.0,,"41,962778","48,117778",,Медь,4.0,ВОЛС,50.0
621,Кизилюртовский район,Село,Мацеевка,МКОУ МАЦЕЕВСКАЯ СОШ,"Республика Дагестан, Кизилюртовский район, с. Мацеевка",516008148.0,,"43,271044","46,982114",,Медь,4.0,ВОЛС,50.0
622,Гунибский район,Село,Мегеб,МКОУ МЕГЕБСКАЯ СОШ,"Республика Дагестан, Гунибский район, с. Мегеб",510008423.0,,"42,252091","47,044883",,Медь,4.0,ВОЛС,50.0
623,Хивский район,Село,Межгюль,МКОУ МЕЖГЮЛЬСКАЯ СОШ,"Республика Дагестан, Хивский район, с. Межгюль",535003843.0,,"41,805992","48,007123",,Спутник,1.0,ВОЛС,50.0
624,Ботлихский район,Село,Миаросо,МКОУ МИАРСИНСКАЯ СОШ,"Республика Дагестан, Ботлихский район с. Миаросо",506006134.0,,"42,654384","46,174995",,Медь,4.0,ВОЛС,50.0
625,Кизилюртовский район,Село,Миатли,МКОУ МИАТЛИНСКАЯ СОШ,"Республика Дагестан, Кизилюртовский район, с. Миатли",516008290.0,,"43,082867","46,828418",,Медь,4.0,ВОЛС,50.0
626,Сергокалинский район,Село,Миглакасимахи,МКОУ МИГЛАКАСИМАХИНСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Миглакасимахи",527002839.0,,"42,339331","47,556718",,Медь,4.0,ВОЛС,50.0
627,Шамильский район,Село,Митлиуриб,МКОУ МИТЛИУРИБСКАЯ ООШ,"Республика Дагестан, Шамильский район, с. Митлиуриб",,,"42,437886","46,688843",,Медь,4.0,ВОЛС,50.0
628,Кизлярский район,Село,Михеевка,МКОУ Михеевская СОШ,"Республика Дагестан, Кизлярский район, с. Михеевка",517012002.0,,"43,92762","46,667389",,Медь,4.0,ВОЛС,50.0
629,Гергебильский район,Село,Могох,МКОУ Могохская СОШ,"Республика Дагестан, Гергебильский район, с. Могох",,,"42,561096","46,917076",,Медь,4.0,ВОЛС,50.0
630,Городской округ город Кизляр,Город,Кизляр,МКОУ МПЛ_2,"Республика Дагестан, г. Кизляр, ул. Набережная, 1",547001801.0,,"43,853613","46,724737",,Медь,15.0,ВОЛС,100.0
631,Гергебильский район,Село,Мурада,МКОУ Мурадинская СОШ Герг-й район,"Республика Дагестан, Гергебильский район, с. Мурада",508008507.0,,"42,444709","46,954828",,Медь,4.0,ВОЛС,50.0
632,Сергокалинский район,Село,Мургук,МКОУ МУРГУКСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Мургук",527002966.0,,"42,265676","47,695754",,Медь,4.0,ВОЛС,50.0
633,Хасавюртовский район,Село,Муцалаул,МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 1,"Республика Дагестан, Хасавюртовский район, с. Муцалаул",534024978.0,,"43,268952","46,731299",,Медь,12.0,ВОЛС,50.0
634,Хасавюртовский район,Село,Муцалаул,МКОУ МУЦАЛАУЛЬСКАЯ СОШ № 2,"Республика Дагестан, Хасавюртовский район, с. Муцалаул",534004379.0,,"43,268952","46,731299",,Медь,12.0,ВОЛС,50.0
635,Тляратинский район,Село,Начада,МКОУ НАЧАДИНСКАЯ СОШ,"Республика Дагестан, Тляратинский район, с. Начада",532000227.0,,"42,198272","46,448959",,Спутник,1.0,ВОЛС,50.0
636,Сергокалинский район,Село,Н.Махарги,МКОУ НИЖНЕМАХАРГИНСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Н.Махарги",527002892.0,,"42,329761","47,634957",,Медь,4.0,ВОЛС,50.0
637,Сергокалинский район,Село,Н.Мулебки,МКОУ НИЖНЕМУЛЕБКИНСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Н.Мулебки",527002934.0,,"42,328128","47,567686",,Медь,4.0,ВОЛС,50.0
638,Левашинский район,Село,Нижнее-Убеки,МКОУ НИЖНЕ-УБЕКИНСКАЯ ООШ,"Республика Дагестан, Левашинский район с. Нижнее-убеки",521009027.0,,"42,391667","47,209722",,Медь,4.0,ВОЛС,50.0
639,Кизлярский район,Село,Н.Бирюзяк,МКОУ Новобирюзякская СОШ,"Республика Дагестан, Кизлярский район, с. Н.-Бирюзяк",547006310.0,,"43,770802","47,309402",,Спутник,1.0,ВОЛС,50.0
640,Кизлярский район,Село,Нововладимировка,МКОУ Нововладимировская СОШ,"Республика Дагестан, Кизлярский район, Черняевская с/а, с. Нововладимировка",517000060.0,,"43,913419","46,950694",,Медь,4.0,ВОЛС,50.0
641,Хасавюртовский район,Село,Новогагатли,МКОУ НОВОГАГАТЛИНСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Новогагатли",534024840.0,,"43,458912","46,480919",,Медь,12.0,ВОЛС,50.0
642,Кизилюртовский район,Село,Зубутли-Миатли,МКОУ НОВОЗУБУТЛИНСКАЯ СОШ,"Республика Дагестан, Кизилюртовский район, с. Зубутли-Миатли",516009261.0,,"43,071357","46,836838",,Медь,4.0,ВОЛС,50.0
643,Хасавюртовский район,Село,Ново-Костек,МКОУ НОВОКОСТЕКСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Ново-Костек",534024456.0,,"43,340336","46,85224",,Медь,12.0,ВОЛС,50.0
644,Кизлярский район,Село,Новокрестьяновка,МКОУ Новокрестьяновская СОШ,"Республика Дагестан, Кизлярский район, с. Новокрестьяновка",517000014.0,,"43,883166","46,569093",,Медь,4.0,ВОЛС,50.0
645,Новолакский район,Село,Новокули,МКОУ НОВОКУЛИНСКАЯ СОШ №1,"Республика Дагестан, Новолакский район, с. Новокули",524005180.0,,"43,163611","46,522222",,Медь,4.0,ВОЛС,50.0
646,Кизлярский район,Село,Новомонастырское,МКОУ Новомонастырская СОШ,"Республика Дагестан, Кизлярский район, с. Новомонастырское",,,"43,865856","46,607824",,Медь,4.0,ВОЛС,50.0
647,Сергокалинский район,Село,Новомугри,МКОУ НОВОМУГРИНСКАЯ СОШ,"Республика Дагестан, Сергокалинский район, с. Новомугри",527003014.0,,"42,474302","47,754936",,Медь,4.0,ВОЛС,50.0
648,Тарумовский район,Село,Ново-Романовка,МКОУ Новоромановская СОШ,"Республика Дагестан, Тарумовский район, с. Ново-Романовка",531004814.0,,"43,95778","46,644322",,Медь,4.0,ВОЛС,50.0
649,Хасавюртовский район,Село,Новосаситли,МКОУ НОВОСАСИТЛИНСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Новосаситли",534011457.0,,"43,385126","46,584937",,Медь,12.0,ВОЛС,50.0
650,Хасавюртовский район,Село,Новосельское,МКОУ НОВОСЕЛЬСКАЯ СОШ,"Республика Дагестан, Хасавюртовский район, с. Новосельское",534024801.0,,"43,432499","46,471826",,Медь,12.0,ВОЛС,50.0
651,Кизлярский район,Село,Новая Серебряковка,МКОУ Новосеребряковская СОШ,"Республика Дагестан, Кизлярский район, с. Новая Серебряковка",547006077.0,,"43,991103","46,978289",,Медь,4.0,ВОЛС,50.0
652,Дахадаевский район,Село,Новоуркарах,МКОУ НОВОУРКАРАХСКАЯ СОШ,"Республика Дагестан, Дахадаевский район, с. Новоуркарах",511003555.0,,"42,159778","47,633985",,Медь,4.0,ВОЛС,50.0
653,Хивский район,Село,Н.-Фриг,МКОУ НОВО-ФРИГСКАЯ СОШ,"Республика Дагестан, Хивский район, с. Н.- Фриг",529908322.0,,"41,852686","48,356357",,Спутник,1.0,ВОЛС,50.0
654,Кизилюртовский район,Село,Новый Чиркей,МКОУ НОВОЧИРКЕЙСКАЯ СОШ №1,"Республика Дагестан, Кизилюртовский район, с. Новый Чиркей",516008170.0,,"43,165965","47,057893",,Медь,4.0,ВОЛС,50.0
655,Кизилюртовский район,Село,Новый Чиркей,МКОУ НОВОЧИРКЕЙСКАЯ СОШ №2,"Республика Дагестан, Кизилюртовский район, с. Новый Чиркей",516008187.0,,"43,158512","47,047556",,Медь,4.0,ВОЛС,50.0
656,Сулейман-Стальский район,Село,Нютюг,МКОУ НЮТЮГСКАЯ СОШ,"Республика Дагестан, Сулейман-стальский район, с. Нютюг",529010465.0,,"41,613056","48,191667",,Медь,4.0,ВОЛС,50.0
