Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Бабаюртовский район;Село;"с.з ""Цумилюхский""";"Республика Дагестан, Бабаюртовский район, с. п/о Туршунай, с/з ""Цумилюхский""";43,597929;46,664752;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Сангар;Республика Дагестан, Бабаюртовский район, с. Сангар;43,592340;47,170974;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Цадах;Республика Дагестан, Бабаюртовский район, с. Цадах;43,582778;47,040278;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Шидрин;Республика Дагестан, Бабаюртовский район, с. Шидрин;43,612145;46,629224;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Арада;Республика Дагестан, Кизилюртовский район, с. Арада;43,308599;47,151068;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Ахтини;Республика Дагестан, Кизилюртовский район, с. Ахтини;43,282373;47,025366;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Нагуратли;Республика Дагестан, Кизилюртовский район, с. Нагуратли;43,221484;46,936309;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Самилах;Республика Дагестан, Кизилюртовский район, с. Самилах;43,316496;47,057941;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Ново Бухты;Республика Дагестан, Кизлярский район, с. Ново Бухты;44,145384;46,969816;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Красное;Республика Дагестан, Кумторкалинский район, с. Красное;43,263886;47,096679;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Новая Урада;Республика Дагестан, Кумторкалинский район, с. Новая Урада;43,080142;47,136201;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Сафарали;Республика Дагестан, Кумторкалинский район, с. Сафарали;43,121286;47,217219;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Кумторкалинский район;Село;Уллубиевка;Республика Дагестан, Кумторкалинский район, с. Уллубиевка;43,139841;47,144961;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Архида;Республика Дагестан, Хасавюртовский район, с. Архида;43,429524;46,785697;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Индира;Республика Дагестан, Хасавюртовский район, с. Индира;43,492094;46,807374;ГКОУ средняя общеобразовательная школа;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Казиюрт;Республика Дагестан, Хасавюртовский район, с. Казиюрт;43,386756;47,039995;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Кирпичкутан;Республика Дагестан, Хасавюртовский район, с. Кирпичкутан;43,463768;46,609992;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Новоданух;Республика Дагестан, Хасавюртовский район, с. Новоданух;43,148415;46,592391;ГКОУ средняя общеобразовательная школа;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
